Originals,,,,,,,,,, ,NAME (N),,,, ,PHONE (Q),,ML (T),,,RM (W),,,BUILDING (Z),,,LOCATION (AB),,FAX (AE),,,WEBSITE (AH),,,EMAIL (AK),
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10053-011, UC Foundation - Ways to Give,513-556-6781,64,,UNIVHALL,513-556-4300,http://www.uc.edu/foundation/giving/ways_to_give.html,ucfoundation@uc.edu,, ,,0, UC Foundation - Ways to Give,, ,513-556-6781,,64,64,,0,,,UNIVHALL,UNIVHALL,,TRUE,,513-556-4300,513-556-4300,,http://www.uc.edu/foundation/giving/ways_to_give.html,http://www.uc.edu/foundation/giving/ways_to_give.html,,ucfoundation@uc.edu,ucfoundation@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10000-095,Time and Weather,513-721-1700,,,,,,,, ,,0,Time and Weather,, ,513-721-1700,,0,,,0,,,0,,,FALSE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10134-021,Glenn M. Weaver Institute of Law & Psychiatry (LAW),513-556-0110,40,2M18,LAW,513-556-1236,http://www.law.uc.edu/weaver,,, ,,0,Glenn M. Weaver Institute of Law & Psychiatry (LAW),, ,513-556-0110,,40,40,,2M18,2M18,,LAW,LAW,,TRUE,,513-556-1236,513-556-1236,,http://www.law.uc.edu/weaver,http://www.law.uc.edu/weaver,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10170-016,Marketing and Digital Communications (University Communications),513-556-1826,141,3300,EDWARDS2,513-556-3237,http://www.uc.edu/ucomm/web.html,Jeremy.Martin@UC.edu,, ,,0,Marketing and Digital Communications (University Communications),, ,513-556-1826,,141,141,,3300,3300,,EDWARDS2,EDWARDS2,,TRUE,,513-556-3237,513-556-3237,,http://www.uc.edu/ucomm/web.html,http://www.uc.edu/ucomm/web.html,,Jeremy.Martin@UC.edu,Jeremy.Martin@UC.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10060-008, AHC)) - Web Design & Maintenance (Communication Services,513-558-3264,573,G-44,HPB,513-558-4120,http://healthnews.uc.edu/communications/artdesign/,art.design@uc.edu,, ,,0, AHC)) - Web Design & Maintenance (Communication Services,, ,513-558-3264,,573,573,,G-44,G-44,,HPB,HPB,,TRUE,,513-558-4120,513-558-4120,,http://healthnews.uc.edu/communications/artdesign/,http://healthnews.uc.edu/communications/artdesign/,,art.design@uc.edu,art.design@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-100,Applications (UCIT),513-558-2101,658,4thFl,UNIVHALL,,http://www.uc.edu/ucit/services/applications-websites.html,,, ,,0,Applications (UCIT),, ,513-558-2101,,658,658,,4thFl,4thFl,,UNIVHALL,UNIVHALL,,TRUE,,0,,,http://www.uc.edu/ucit/services/applications-websites.html,http://www.uc.edu/ucit/services/applications-websites.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10002-002,Wellness (Human Resources),513-556-6381,39,340,UNIVHALL,513-556-9652,http://www.uc.edu/hr/benefits/wellness.html,hronestop@uc.edu,, ,,0,Wellness (Human Resources),, ,513-556-6381,,39,39,,340,340,,UNIVHALL,UNIVHALL,,TRUE,,513-556-9652,513-556-9652,,http://www.uc.edu/hr/benefits/wellness.html,http://www.uc.edu/hr/benefits/wellness.html,,hronestop@uc.edu,hronestop@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10166-023,Student Wellness Center,513-556-6124,366,675,STEGER,513-556-4543,http://www.uc.edu/wellness.html,,, ,,0,Student Wellness Center,, ,513-556-6124,,366,366,,675,675,,STEGER,STEGER,,TRUE,,513-556-4543,513-556-4543,,http://www.uc.edu/wellness.html,http://www.uc.edu/wellness.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-063,Womens Gender and Sexuality Studies (WGSS)(A&S),513-556-6776,164,3410,FRENCH-WEST,513-556-6771,http://www.artsci.uc.edu/departments/wgss/about.html,,, ,,0,Womens Gender and Sexuality Studies (WGSS)(A&S),, ,513-556-6776,,164,164,,3410,3410,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-6771,513-556-6771,,http://www.artsci.uc.edu/departments/wgss/about.html,http://www.artsci.uc.edu/departments/wgss/about.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10116-133,Gas Dynamics and Propulsion Lab (CEAS),513-556-3548,70,300,RHODES,,,,, ,,0,Gas Dynamics and Propulsion Lab (CEAS),, ,513-556-3548,,70,70,,300,300,,RHODES,RHODES,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10155-043,Wind Studies (CCM),513-556-9424,3,2530,CORBETT,513-556-3399,http://ccm.uc.edu/music/winds.html,,, ,,0,Wind Studies (CCM),, ,513-556-9424,,3,3,,2530,2530,,CORBETT,CORBETT,,TRUE,,513-556-3399,513-556-3399,,http://ccm.uc.edu/music/winds.html,http://ccm.uc.edu/music/winds.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10131-015,Mick & Mack's Contemporary Cafe,513-556-3653,110,Level3,TUC,513-556-0310,http://www.uc.edu/food/,mick_macks@uc.edu,, ,,0,Mick & Mack's Contemporary Cafe,, ,513-556-3653,,110,110,,Level3,Level3,,TUC,TUC,,TRUE,,513-556-0310,513-556-0310,,http://www.uc.edu/food/,http://www.uc.edu/food/,,mick_macks@uc.edu,mick_macks@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10088-043,Henry R. Winkler Center for the History of the Health Professions,513-558-5120,574,E005H,MSB,513-558-2199,http://www.libraries.uc.edu/winkler-center,chhp@uc.edu,, ,,0,Henry R. Winkler Center for the History of the Health Professions,, ,513-558-5120,,574,574,,E005H,E005H,,MSB,MSB,,TRUE,,513-558-2199,513-558-2199,,http://www.libraries.uc.edu/winkler-center,http://www.libraries.uc.edu/winkler-center,,chhp@uc.edu,chhp@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10000-014,Woman's Club of the University of Cincinnati,513-558-2038,222,,,,http://www.uc.edu/womansclub.html,,, ,,0,Woman's Club of the University of Cincinnati,, ,513-558-2038,,222,222,,0,,,0,,,TRUE,,0,,,http://www.uc.edu/womansclub.html,http://www.uc.edu/womansclub.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10116-461,Women in Engineering and Applied Science Summer Camp (CEAS),513-556-5417,,,,,http://ceas.uc.edu/future_students/Activities/Summer_Camps.html,ceas.ug@uc.edu,, ,,0,Women in Engineering and Applied Science Summer Camp (CEAS),, ,513-556-5417,,0,,,0,,,0,,,FALSE,,0,,,http://ceas.uc.edu/future_students/Activities/Summer_Camps.html,http://ceas.uc.edu/future_students/Activities/Summer_Camps.html,,ceas.ug@uc.edu,ceas.ug@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10166-114,UC Women's Center (Student Life),513-556-4401,179,571,STEGER,513-556-0686,http://www.uc.edu/ucwc/,,, ,,0,UC Women's Center (Student Life),, ,513-556-4401,,179,179,,571,571,,STEGER,STEGER,,TRUE,,513-556-0686,513-556-0686,,http://www.uc.edu/ucwc/,http://www.uc.edu/ucwc/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10050-028,Women's Health Research Program (Psychiatry)(MED),513-558-7700,559,8600,STETSON,,,,, ,,0,Women's Health Research Program (Psychiatry)(MED),, ,513-558-7700,,559,559,,8600,8600,,STETSON,STETSON,,TRUE,,0,,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-023,Women's Health Holmes Clinic (UHS),513-584-4457,460,4041,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,,, ,,0,Women's Health Holmes Clinic (UHS),, ,513-584-4457,,460,460,,4041,4041,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-024,Women's Health Lindner Clinic (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,,, ,,0,Women's Health Lindner Clinic (UHS),, ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,http://www.uc.edu/uhs/clinics/services/womans_health_services.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-062,Friends of Women's Studies (A&S),513-556-6653,164,3410,FRENCH-WEST,513-556-6771,http://www.artsci.uc.edu/departments/wgss/about.html,,, ,,0,Friends of Women's Studies (A&S),, ,513-556-6653,,164,164,,3410,3410,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-6771,513-556-6771,,http://www.artsci.uc.edu/departments/wgss/about.html,http://www.artsci.uc.edu/departments/wgss/about.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10190-007,Wood Shop (DAAP),513-556-1207,16,3rdFl,WOLFSON,513-556-3288,http://daap.uc.edu/about/facilities/shop.html,,, ,,0,Wood Shop (DAAP),, ,513-556-1207,,16,16,,3rdFl,3rdFl,,WOLFSON,WOLFSON,,TRUE,,513-556-3288,513-556-3288,,http://daap.uc.edu/about/facilities/shop.html,http://daap.uc.edu/about/facilities/shop.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10155-051,Woodwinds (CCM),513-556-9553,3,366,MEMORIAL,513-556-9641,http://ccm.uc.edu/music/woodwinds_brass_perc.html,,, ,,0,Woodwinds (CCM),, ,513-556-9553,,3,3,,366,366,,MEMORIAL,MEMORIAL,,TRUE,,513-556-9641,513-556-9641,,http://ccm.uc.edu/music/woodwinds_brass_perc.html,http://ccm.uc.edu/music/woodwinds_brass_perc.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10074-003,Work Control, After Hours,513-556-1111,,,,,http://www.uc.edu/af/facilities/services/maintenance.html,, ,TRUE,1,Work Control  After Hours,Work Control  After Hours, ,513-556-1111,,0,,,0,,,0,,,FALSE,,0,,,http://www.uc.edu/af/facilities/services/maintenance.html,http://www.uc.edu/af/facilities/services/maintenance.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10074-002,Maintenance, Facilities Management,513-558-2500,114,632,RIEVESCHL,513-556-9661,http://www.uc.edu/af/facilities/services/maintenance.html,, ,TRUE,1,Maintenance  Facilities Management,Maintenance  Facilities Management, ,513-558-2500,,114,114,,632,632,,RIEVESCHL,RIEVESCHL,,TRUE,,513-556-9661,513-556-9661,,http://www.uc.edu/af/facilities/services/maintenance.html,http://www.uc.edu/af/facilities/services/maintenance.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-016,Work Related Injury, Holmes Clinic (UHS),513-584-4457,460,4041,UCMC-HOLMES,513-584-2222,http://www.uc.edu/uhs/clinics/work_related_injury.html,, ,TRUE,1,Work Related Injury  Holmes Clinic (UHS),Work Related Injury  Holmes Clinic (UHS), ,513-584-4457,,460,460,,4041,4041,,UCMC-HOLMES,UCMC-HOLMES,,TRUE,,513-584-2222,513-584-2222,,http://www.uc.edu/uhs/clinics/work_related_injury.html,http://www.uc.edu/uhs/clinics/work_related_injury.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-017,Work Related Injury, Lindner Clinic (UHS),513-556-2564,10,335,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/work_related_injury.html,, ,TRUE,1,Work Related Injury  Lindner Clinic (UHS),Work Related Injury  Lindner Clinic (UHS), ,513-556-2564,,10,10,,335,335,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/work_related_injury.html,http://www.uc.edu/uhs/clinics/work_related_injury.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10165-013,Student Employment (Financial Aid/One Stop),513-556-1000,125,440,UNIVPAV,513-556-9171,financeaid@uc.edu,,, ,,0,Student Employment (Financial Aid/One Stop),, ,513-556-1000,,125,125,,440,440,,UNIVPAV,UNIVPAV,,TRUE,,513-556-9171,513-556-9171,,financeaid@uc.edu,financeaid@uc.edu,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10002-028, Human Resources - Workers Compensation,513-556-6951,39,340,UNIVHALL,513-556-9652,http://www.uc.edu/uhs/clinics/work_related_injury.html,gloria.woods@uc.edu,, ,,0, Human Resources - Workers Compensation,, ,513-556-6951,,39,39,,340,340,,UNIVHALL,UNIVHALL,,TRUE,,513-556-9652,513-556-9652,,http://www.uc.edu/uhs/clinics/work_related_injury.html,http://www.uc.edu/uhs/clinics/work_related_injury.html,,gloria.woods@uc.edu,gloria.woods@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10145-069,Writing Center (UCBA),513-745-5733,86,324,BAMUNTZ,,http://www.ucblueash.edu/students/services/labs/writing-center.html,,, ,,0,Writing Center (UCBA),, ,513-745-5733,,86,86,,324,324,,BAMUNTZ,BAMUNTZ,,TRUE,,0,,,http://www.ucblueash.edu/students/services/labs/writing-center.html,http://www.ucblueash.edu/students/services/labs/writing-center.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10166-020,Learning Assistance Center (AESS),513-556-3244,221,2441,FRENCH-WEST,513-556-0823,http://www.uc.edu/aess/lac.html,lac@uc.edu,, ,,0,Learning Assistance Center (AESS),, ,513-556-3244,,221,221,,2441,2441,,FRENCH-WEST,FRENCH-WEST,,TRUE,,513-556-0823,513-556-0823,,http://www.uc.edu/aess/lac.html,http://www.uc.edu/aess/lac.html,,lac@uc.edu,lac@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10170-011,Editorial Services (University Communications),513-556-5223,141,3300,EDWARDS2,513-556-3237,http://www.uc.edu/ucomm/design_copywriting.html,Angela.Klocke@UC.edu,, ,,0,Editorial Services (University Communications),, ,513-556-5223,,141,141,,3300,3300,,EDWARDS2,EDWARDS2,,TRUE,,513-556-3237,513-556-3237,,http://www.uc.edu/ucomm/design_copywriting.html,http://www.uc.edu/ucomm/design_copywriting.html,,Angela.Klocke@UC.edu,Angela.Klocke@UC.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10164-007,ETD Helpdesk (GRADUATE SCHOOL),513-556-1496,627,110,VANWORMR,513-556-0128,http://grad.uc.edu/student-life/etd.html,Gradhelpdesk@uc.edu,, ,,0,ETD Helpdesk (GRADUATE SCHOOL),, ,513-556-1496,,627,627,,110,110,,VANWORMR,VANWORMR,,TRUE,,513-556-0128,513-556-0128,,http://grad.uc.edu/student-life/etd.html,http://grad.uc.edu/student-life/etd.html,,Gradhelpdesk@uc.edu,Gradhelpdesk@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10051-003, Imaging Center - Athletics, Varsity Village,513-556-4674,569,,MRICENTER,513-556-4646,http://www.med.uc.edu/radiology/patientcare/facilities/varsityvillage.aspx,, ,TRUE,1, Imaging Center - Athletics  Varsity Village, Imaging Center - Athletics  Varsity Village, ,513-556-4674,,569,569,,0,,,MRICENTER,MRICENTER,,TRUE,,513-556-4646,513-556-4646,,http://www.med.uc.edu/radiology/patientcare/facilities/varsityvillage.aspx,http://www.med.uc.edu/radiology/patientcare/facilities/varsityvillage.aspx,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10056-010,Vascular Surgery (MED),513-558-5367,513,1207,MSB,513-558-2967,http://surgery.uc.edu/Divisions/Vascular/Vascular%20main.html,,, ,,0,Vascular Surgery (MED),, ,513-558-5367,,513,513,,1207,1207,,MSB,MSB,,TRUE,,513-558-2967,513-558-2967,,http://surgery.uc.edu/Divisions/Vascular/Vascular%20main.html,http://surgery.uc.edu/Divisions/Vascular/Vascular%20main.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10051-005,Vontz Core Imaging Laboratory (VCIL)(MED),513-584-4282,577,,UCMC,,http://med.uc.edu/radiology/sections/nuclear-medicine/about.aspx,,, ,,0,Vontz Core Imaging Laboratory (VCIL)(MED),, ,513-584-4282,,577,577,,0,,,UCMC,UCMC,,TRUE,,0,,,http://med.uc.edu/radiology/sections/nuclear-medicine/about.aspx,http://med.uc.edu/radiology/sections/nuclear-medicine/about.aspx,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10136-016,Vine Street Community Urban Redevelopment Corporation (VCURC),513-556-5948,157,620,UNIVHALL,513-556-4885,http://www.uc.edu/af/commdev/VCURC.html,cynthia.dreyer@uc.edu,, ,,0,Vine Street Community Urban Redevelopment Corporation (VCURC),, ,513-556-5948,,157,157,,620,620,,UNIVHALL,UNIVHALL,,TRUE,,513-556-4885,513-556-4885,,http://www.uc.edu/af/commdev/VCURC.html,http://www.uc.edu/af/commdev/VCURC.html,,cynthia.dreyer@uc.edu,cynthia.dreyer@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10074-009,Transportation (Facilities Management),513-556-4424,185,,SERVGARAGE,513-556-5173,http://www.uc.edu/af/facilities/services/transportation.html,,, ,,0,Transportation (Facilities Management),, ,513-556-4424,,185,185,,0,,,SERVGARAGE,SERVGARAGE,,TRUE,,513-556-5173,513-556-5173,,http://www.uc.edu/af/facilities/services/transportation.html,http://www.uc.edu/af/facilities/services/transportation.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10131-017,Vending Services (Campus Svcs),513-556-3200,23,265,TUC,513-556-5650,http://www.uc.edu/af/campusservices/vending.html,vending@uc.edu,, ,,0,Vending Services (Campus Svcs),, ,513-556-3200,,23,23,,265,265,,TUC,TUC,,TRUE,,513-556-5650,513-556-5650,,http://www.uc.edu/af/campusservices/vending.html,http://www.uc.edu/af/campusservices/vending.html,,vending@uc.edu,vending@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10002-029,Employment Verification (Human Resources),513-556-6381,39,340,UNIVHALL,513-556-9652,http://www.uc.edu/hr/toolkits/manager/talx.html,hronestop@uc.edu,, ,,0,Employment Verification (Human Resources),, ,513-556-6381,,39,39,,340,340,,UNIVHALL,UNIVHALL,,TRUE,,513-556-9652,513-556-9652,,http://www.uc.edu/hr/toolkits/manager/talx.html,http://www.uc.edu/hr/toolkits/manager/talx.html,,hronestop@uc.edu,hronestop@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10169-101,Veteran Affairs (CLER),513-558-5358,162,101,CLERSTUSVCS,513-732-5303,http://www.ucclermont.edu/students/mil_vet.html,,, ,,0,Veteran Affairs (CLER),, ,513-558-5358,,162,162,,101,101,,CLERSTUSVCS,CLERSTUSVCS,,TRUE,,513-732-5303,513-732-5303,,http://www.ucclermont.edu/students/mil_vet.html,http://www.ucclermont.edu/students/mil_vet.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10145-042,Veterinary Technology Program (UCBA),513-936-7173,86,106,BAVETEC,513-936-7176,http://www.ucblueash.edu/academics/departments/vet-tech.html,,, ,,0,Veterinary Technology Program (UCBA),, ,513-936-7173,,86,86,,106,106,,BAVETEC,BAVETEC,,TRUE,,513-936-7176,513-936-7176,,http://www.ucblueash.edu/academics/departments/vet-tech.html,http://www.ucblueash.edu/academics/departments/vet-tech.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10121-078,Vice President and Chief Information Officer for Information Technologies,513-556-2323,658,400,UNIVHALL,513-556-9393,http://www.uc.edu/ucit/about/cio.html,,, ,,0,Vice President and Chief Information Officer for Information Technologies,, ,513-556-2323,,658,658,,400,400,,UNIVHALL,UNIVHALL,,TRUE,,513-556-9393,513-556-9393,,http://www.uc.edu/ucit/about/cio.html,http://www.uc.edu/ucit/about/cio.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10136-004,Sr. Vice President for Administration and Finance,513-556-2413,620,630,UNIVPAV,513-556-5269,http://www.uc.edu/af.html,adfin@uc.edu,, ,,0,Sr. Vice President for Administration and Finance,, ,513-556-2413,,620,620,,630,630,,UNIVPAV,UNIVPAV,,TRUE,,513-556-5269,513-556-5269,,http://www.uc.edu/af.html,http://www.uc.edu/af.html,,adfin@uc.edu,adfin@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10053-003,Vice President for Development, UC Foundation,513-556-6781,64,,UNIVHALL,513-556-4340,http://www.uc.edu/foundation.html,, ,TRUE,1,Vice President for Development  UC Foundation,Vice President for Development  UC Foundation, ,513-556-6781,,64,64,,0,,,UNIVHALL,UNIVHALL,,TRUE,,513-556-4340,513-556-4340,,http://www.uc.edu/foundation.html,http://www.uc.edu/foundation.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10046-001,Vice President for Finance, Ofc of,513-556-1299,646,630,UNIVPAV,513-556-5269,http://www.uc.edu/af/vpfinance.html,, ,TRUE,1,Vice President for Finance  Ofc of,Vice President for Finance  Ofc of, ,513-556-1299,,646,646,,630,630,,UNIVPAV,UNIVPAV,,TRUE,,513-556-5269,513-556-5269,,http://www.uc.edu/af/vpfinance.html,http://www.uc.edu/af/vpfinance.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10170-014,Governmental Relations & Univ Communications (VP),513-556-3028,634,610,UNIVPAV,513-556-0509,http://www.uc.edu/ucomm.html,,, ,,0,Governmental Relations & Univ Communications (VP),, ,513-556-3028,,634,634,,610,610,,UNIVPAV,UNIVPAV,,TRUE,,513-556-0509,513-556-0509,,http://www.uc.edu/ucomm.html,http://www.uc.edu/ucomm.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10160-001,Office of Research,513-558-0026,663,540,UNIVHALL,513-558-0549,http://www.uc.edu/ucresearch.html,,, ,,0,Office of Research,, ,513-558-0026,,663,663,,540,540,,UNIVHALL,UNIVHALL,,TRUE,,513-558-0549,513-558-0549,,http://www.uc.edu/ucresearch.html,http://www.uc.edu/ucresearch.html,,0,
